id_business,name,#_reviews,address,#_stars
186,Le Luxor,2,103 Rue Neufchâtel,2
187,Bar Le National,1,1 Rue Colonel Fabien,4
188,Central Park Café,1,5 Place Léon Bourgeois,3
189,pizza la mama,2,134 bvd saint marceaux,3
190,Chez Anita,34,37 Rue Ernest Renan,3
191,Au Tambour,1,60 Rue de Magneaux,2
192,Anatolie,2,24-26 rue de L' Etape,3
193,Kyodo Sushi,3,130 avenue de Laon,3
194,La Boucherie,13,64 place Drouet d'erlon,2
195,Le Paris,1,23 Avenue Carnot,3
196,Burger King,10,80 place Drouet d'Erlon,3
197,Color Bowl - Pizzeria-Brasserie,2,16 rue Nicolas Appert,1
198,Dragon d’Or,7,11 Rue Emile Zola,4
199,Pizza du coin,1,233 Rue de Neufchâtel,4
200,Le Celtique,1,64 Rue Gambetta,3
201,Topkapi Doner Kebab,1,11 rue Condorcet,2
202,Casse Croute Latin,3,13 Place Drouet D'erlon,2
203,Céleste D’Asie,3,17 rue Maurice Hollande,3
204,Cité de Chine,5,1 Boulevard Marcelin Berthelot,4
205,L’Indochine,4,19 Rue de Thillois,3
206,Cernay Doner Kebab,1,75 rue Cernay,2
207,Pizzeria La Calabraise,10,4 rue de la Magdeleine,3
208,Bistrot le Henri IV,3,29 Rue Henri IV,3
209,Del Arte,1,ZAC Jean XXIII,2
210,l’escale,7,132 rue de vesles,3
211,Uncle Sam Burgers,1,77 place Drouet d'Erlon,3
212,Subway,1,63 place Drouet d'Erlon,3
213,Le Fast,1,49 rue de Courcelles,3
214,Au Congrès,2,41 bd Foch,2
215,Pizza Pino,9,82 place d'erlon,2
216,Le Condorcet,2,6 Rue Condorcet,2
217,Royal Kebab,3,6 Rue Capucins,3
218,Café Bar Au Bon Accueil,1,274 avenue Laon,1
219,Le Grain de Riz,1,45 Place d'Erlon,1
220,Les Gourmandises de Marido,2,12 passage St Jacques,3
221,El Cordo,1,177 Rue Paul Vaillant Couturier,1
222,Crescendo,1,boulevard des tondeurs,2
223,Quick Restaurant,1,rue André Chaillot,2
